frame,edge_density,motion_score,activity_index,mean_brightness,color_variance,video_name,source_file
frame_000633.jpg,0.124158,0.037599,0.161756,87.54,47.14,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000634.jpg,0.123949,0.02403,0.147979,87.55,47.12,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000635.jpg,0.124318,0.039712,0.16403,87.55,47.09,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000636.jpg,0.124308,0.035502,0.15981,87.55,47.1,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000637.jpg,0.124515,0.015926,0.140441,87.55,47.08,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000638.jpg,0.123664,0.031629,0.155293,87.65,47.0,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000639.jpg,0.123659,0.040134,0.163794,87.6,46.96,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000640.jpg,0.123274,0.027374,0.150648,87.65,46.93,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000641.jpg,0.123437,0.038516,0.161953,87.54,46.98,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000642.jpg,0.123558,0.04022,0.163778,87.54,47.0,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
